No of Samples,Initiator Concentration(CI) ,Temperature (T),Jacket Temperature (T),Coolant water flowrate (Fcw),Monomer inlet Flowrate (F),Coolant inlet temp.water (Two),Inlet temparature of Feed (Tin), Target variable (Monomer Concentration)
1,0.0244310665840206,346.86727869903,331.874633344612,0.1588,1.02878163145396,293.2,350.014529137686,6.06184788781031
2,0.0250162992999329,342.013220962451,334.982669036071,0.1588,1.00329502726034,293.2,349.904450274632,6.05486811912186
3,0.0253664919422132,344.491549002092,332.124374937836,0.1588,0.987497359000301,293.2,350.088297178737,6.03055120797953
4,0.0250376689358817,345.638793670168,326.586010139653,0.1588,1.00039556355151,293.2,350.167016325918,6.02183267942343
5,0.0250165292511078,344.759024631442,336.650640573375,0.1588,1.00187675074616,293.2,349.933011030667,6.03830566891853
6,0.0251103308389125,353.567860105659,327.207850904049,0.1588,0.998284716762087,293.2,350.013212875298,6.03562167498244
7,0.0252036745166827,349.094913234761,328.451215642575,0.1588,0.995292501545542,293.2,349.946755235536,6.03890123856509
8,0.0252426455863793,349.744794121965,325.600382691214,0.1588,0.993254602048722,293.2,349.959682052349,6.0360321135329
9,0.0252384671233573,352.396351157664,334.928757544078,0.1588,0.993631148865012,293.2,350.070598905007,6.03144538614236
10,0.0250869151827429,352.113275847022,332.053510740421,0.1588,0.999160578297361,293.2,349.899954088259,6.04229271109449
11,0.025239934791225,345.969389790776,334.826680930329,0.1588,0.993066424861008,293.2,349.925121826531,6.04274242871747
12,0.0251871919617988,346.93916881779,337.248249018787,0.1588,0.995728400343403,293.2,350.048184571186,6.03375125281875
13,0.0246700406961793,348.708188914901,332.382200610366,0.1588,1.0169265906727,293.2,349.941265139242,6.05494422737505
14,0.0253456951010301,351.903793435689,330.684753196825,0.1588,0.990145264325673,293.2,349.945940749311,6.04055932969127
15,0.0253108180575263,348.213500272685,333.390213859229,0.1588,0.990727862269879,293.2,349.928595471565,6.03753687145764
16,0.0248049118282831,343.729388616448,328.651378109513,0.1588,1.01204762847691,293.2,350.016341196427,6.05279930191638
17,0.0249268335111699,350.356612389103,329.901257797381,0.1588,1.00668037590415,293.2,349.928358883199,6.05227425101657
18,0.025315716629902,353.220454516717,327.588099610109,0.1588,0.991440312364611,293.2,349.981850587537,6.04015496121668
19,0.0253892977717549,348.677195583548,330.101009855278,0.1588,0.987732932755202,293.2,349.996687447903,6.0320194317665
20,0.0255422350761341,352.082830305858,327.665088461047,0.1588,0.980786134457278,293.2,349.958659818332,6.0195660505588
21,0.0251682794668507,348.703231185145,328.710199490554,0.1588,0.996441504073687,293.2,349.959372800688,6.03537096697272
22,0.0252198885663424,352.56533915961,337.693682211168,0.1588,0.994332588879711,293.2,350.007456909539,6.03242423362037
23,0.02511178658556,344.560196386567,330.869394858811,0.1588,1.00034032536427,293.2,349.902068897027,6.04948941132142
24,0.0247037305483467,347.403549499566,331.063964512516,0.1588,1.01587278904865,293.2,349.95283563644,6.06085882353127
25,0.0248485150655581,354.580015405502,332.752847168369,0.1588,1.01044872944144,293.2,350.060871819884,6.0535968306584
26,0.0248674518578044,346.380208570565,330.089154950462,0.1588,1.00902269595351,293.2,349.982345056018,6.05225113770337
27,0.0254011590315919,347.400029049139,330.986996004576,0.1588,0.986692069758228,293.2,350.102682515469,6.02695632517989
28,0.0247964421003589,355.125083249264,328.978242745241,0.1588,1.01106180721662,293.2,350.09375131707,6.03624759598244
29,0.0246784389732391,354.463557883997,332.889885008097,0.1588,1.0157841608704,293.2,350.078653792536,6.04616511212351
30,0.0246590129797068,350.863550766339,335.504447679741,0.1588,1.01692573455677,293.2,349.893782109084,6.0624272757613
31,0.0251998599940261,345.936317903908,329.295823436337,0.1588,0.994995703500683,293.2,349.982458067747,6.04600732404894
